(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
	 (3738 verts): 
		Map_ChenXGD_Worn02_01_Shadow (318 verts)	-1	True	False	True	0	[] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Map_ChenXGD_Worn02_01_Shadow (318 verts)	-1	True	False	True	0	[] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Map_ChenXGD_Worn02_01_Shadow (318 verts)	-1	True	False	True	0	[] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Prop05_03_Shadow (50 verts)	-1	True	False	False	0	[] 	
		Map_ChenXGD_Worn02_01_Shadow (318 verts)	-1	True	False	True	0	[] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Map_ChenXGD_Worn02_01_Shadow (318 verts)	-1	True	False	True	0	[] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Map_ChenXGD_Worn02_01_Shadow (318 verts)	-1	True	False	True	0	[] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Map_ChenXGD_Worn02_01_Shadow (318 verts)	-1	True	False	True	0	[] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Map_ChenXGD_Worn02_01_Shadow (318 verts)	-1	True	False	True	0	[] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Prop05_04_Shadow (50 verts)	-1	True	False	False	0	[] 	
		Map_ChenXGD_Worn02_01_Shadow (318 verts)	-1	True	False	True	0	[] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Prop05_02_Shadow (50 verts)	-1	True	False	False	0	[] 	
		Common_Prop05_02_Shadow (50 verts)	-1	True	False	False	0	[] 	
		Wind (24 verts)	-1	True	False	False	0	[] 	
		Wind (1) (24 verts)	-1	True	False	False	0	[] 	
		Wind (2) (24 verts)	-1	True	False	False	0	[] 	
		Bird (24 verts)	-1	True	False	False	0	[] 	
		Bird (1) (24 verts)	-1	True	False	False	0	[] 	
		Bird (2) (24 verts)	-1	True	False	False	0	[] 	
		Map_ChenXGD_windmill001_01_Shadow (214 verts)	-1	True	False	False	0	[] 	
		Map_ChenXGD_Worn02_01_Shadow (318 verts)	-1	True	False	True	0	[] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
	SGAME/DecalCloudShadow (864 verts): 
		Common_DecalCloudShade_Pfb (3) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (29) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (10) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (27) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (28) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (24) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (23) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (30) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (22) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (19) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (18) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (17) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (16) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (14) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (13) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (20) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (32) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (31) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (33) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (2) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (9) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (4) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (5) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (6) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (7) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (8) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (1) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (11) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (12) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (38) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (40) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (37) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (36) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (34) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (26) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
		Common_DecalCloudShade_Pfb (39) (24 verts)	-1	True	False	False	1	[Common_CloudShadeDecal_Mat (UnityEngine.Material)] 	
	SGAME/SGAME_Scene_01 (848 verts): 
		Common_Altar01_Stc (848 verts)	-1	True	False	False	1	[Common_Altar01_Mat (UnityEngine.Material)] 	
	SGAME/SGAME_Scene_01 (1064 verts): 
		Common_Bonfire01_Pfb (2) (532 verts)	-1	True	False	False	1	[Common_Bonfire01_Mat (UnityEngine.Material)] 	
		Common_Bonfire01_Pfb (532 verts)	-1	True	False	False	1	[Common_Bonfire01_Mat (UnityEngine.Material)] 	
	SGAME/SGAME_Scene_01 (1220 verts): 
		BonFire001 (610 verts)	-1	True	False	False	1	[Common_Bonfire02_Mat (UnityEngine.Material)] 	
		BonFire001 (610 verts)	-1	True	False	False	1	[Common_Bonfire02_Mat (UnityEngine.Material)] 	
	SGAME/SGAME_Scene_01 (9672 verts): 
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
