doc	status	ref	resolved
_Nav_Battle.md	OK	BattleManager.cs	Assets\Scripts\StarGame\Service\BattleManager\BattleManager.cs
_Nav_Battle.md	OK	EntityBaseData.cs	Assets\Scripts\StarGame\Game\Data\EntityBaseData.cs
BATTLE_FRAMEWORK_ARCHITECTURE.md	OK	Assets/Scripts/StarGame/Game/GameManager.cs	Assets\Scripts\StarGame\Game\GameManager.cs
BATTLE_FRAMEWORK_ARCHITECTURE.md	OK	Assets/Scripts/StarGame/Game/Player/Component/SkillComponent.cs	Assets\Scripts\StarGame\Game\Player\Component\SkillComponent.cs
BATTLE_FRAMEWORK_ARCHITECTURE.md	OK	Assets/Scripts/StarGame/Game/Skill/Buff/SkillBuff.cs	Assets\Scripts\StarGame\Game\Skill\Buff\SkillBuff.cs
BATTLE_FRAMEWORK_ARCHITECTURE.md	OK	Assets/Scripts/StarGame/Game/Skill/EffectUtils.cs	Assets\Scripts\StarGame\Game\Skill\EffectUtils.cs
BATTLE_FRAMEWORK_ARCHITECTURE.md	OK	Assets/Scripts/StarGame/Game/Skill/SkillDispatcher.cs	Assets\Scripts\StarGame\Game\Skill\SkillDispatcher.cs
BATTLE_FRAMEWORK_ARCHITECTURE.md	OK	Assets/Scripts/StarGame/Game/Skill/StageHandle.cs	Assets\Scripts\StarGame\Game\Skill\StageHandle.cs
BATTLE_FRAMEWORK_ARCHITECTURE.md	OK	Assets/Scripts/StarGame/Service/BattleManager/BattleManager.cs	Assets\Scripts\StarGame\Service\BattleManager\BattleManager.cs
FLOW_AUTO_BATTLE_DETAILED.md	OK	Assets/Scripts/StarGame/Service/BattleManager/BattleManager.cs	Assets\Scripts\StarGame\Service\BattleManager\BattleManager.cs
FLOW_AUTO_BATTLE_DETAILED.md	OK	BattleManager.cs	Assets\Scripts\StarGame\Service\BattleManager\BattleManager.cs
FLOW_BUFF_LIFECYCLE.md	OK	AttackState.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\ViewState\AttackState.cs
FLOW_BUFF_LIFECYCLE.md	OK	AttacState.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\ViewState\AttacState.cs
FLOW_BUFF_LIFECYCLE.md	OK	BaseTypeEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\BaseTypeEffect.cs
FLOW_BUFF_LIFECYCLE.md	OK	BuffInfo.cs	Assets\Scripts\StarGame\Game\Skill\Buff\BuffInfo.cs
FLOW_BUFF_LIFECYCLE.md	OK	BuffStageHandle.cs	Assets\Scripts\StarGame\Game\Skill\Buff\BuffStageHandle.cs
FLOW_BUFF_LIFECYCLE.md	OK	EffectUtils.cs	Assets\Scripts\StarGame\Game\Skill\EffectUtils.cs
FLOW_BUFF_LIFECYCLE.md	OK	FreezeBuffEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\FreezeBuffEffect.cs
FLOW_BUFF_LIFECYCLE.md	OK	InvisibleBuffEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\InvisibleBuffEffect.cs
FLOW_BUFF_LIFECYCLE.md	OK	PassiveInfo.cs	Assets\Scripts\StarGame\Game\Skill\Passive\PassiveInfo.cs
FLOW_BUFF_LIFECYCLE.md	OK	PassiveStageHandle.cs	Assets\Scripts\StarGame\Game\Skill\Passive\PassiveStageHandle.cs
FLOW_BUFF_LIFECYCLE.md	OK	ShadowFollowBuffEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\ShadowFollowBuffEffect.cs
FLOW_BUFF_LIFECYCLE.md	OK	SkillBlackBoard.cs	Assets\Scripts\StarGame\Game\Skill\SkillBlackBoard.cs
FLOW_BUFF_LIFECYCLE.md	OK	SkillBuff.cs	Assets\Scripts\StarGame\Game\Skill\Buff\SkillBuff.cs
FLOW_BUFF_LIFECYCLE.md	OK	SkillControllerBuffPartial.cs	Assets\Scripts\StarGame\Game\Skill\SkillPartial\SkillControllerBuffPartial.cs
FLOW_BUFF_LIFECYCLE.md	OK	TypeEffectFactory.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\TypeEffectFactory.cs
FLOW_DAMAGE_PIPELINE.md	OK	BaseTypeEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\BaseTypeEffect.cs
FLOW_DAMAGE_PIPELINE.md	OK	BuffInfo.cs	Assets\Scripts\StarGame\Game\Skill\Buff\BuffInfo.cs
